"Continue","Continuar"
"Sorry, could not retrieve your Twitter last name. Please try again.","Lo sentimos, no pudimos obtener el apellido de tu cuenta en Twitter. Favor de intentar nuevamente."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Tu cuenta de Twitter está ahora conectada a tu nuevo usuario en nuestra tienda. Ahora puedes iniciar sesión usando nuestro botón de Conector de Twitter."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","A causa de que Twitter no permite el acceso de terceros a tu dirección de correo electrónico, no hemos podido enviarte tus credenciales de la tienda. Para poder iniciar sesión usando las credenciales es necesario que tu actualices tu dirección de correo electrónico y contraseña usando el siguiente enlace <a href="%s">Editar información de la cuenta</a>."
"Google Connect","Conector de Google"
"Facebook Connect","Conector de Facebook"
"Twitter Connect","Conector de Twitter"
"Customer My Account Google Connect","Cliente Mi cuenta Conector de Google"
"Customer My Account Facebook Connect","Cliente Mi cuenta Conector de Facebook"
"Customer My Account Twitter Connect","Cliente Mi cuenta Conector de Twitter"
"Connected as %s","Conectado como %s"
"Email: %s","Correo electrónico : %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Género : %s"
"Birthday: %s","Día de nacimiento : %s"
"You can connect store account with your Facebook account so you could login easier in the future.","Puedes conectar tu cuenta de la tienda con tu cuenta de Facebook así puedes iniciar sesión mas fácil en el futuro"
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","Puedes conectar tu cuenta de la tienda con tu cuenta de Google así puedes iniciar sesión mas fácil en el futuro."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","Puedes conectar tu cuenta de la tienda con tu cuenta de Twitter así puedes iniciar sesión mas fácil en el futuro."
"You can continue with checkout using your <strong>Google</strong> account.","Puedes continuar el proceso de pago usando tu cuenta de <strong>Google</strong>."
"You can continue with checkout using your <strong>Facebook</strong> account.","Puedes continuar el proceso de pago usando tu cuenta de <strong>Facebook</strong>."
"You can continue with checkout using your <strong>Twitter</strong> account.","Puedes continuar el proceso de pago usando tu cuenta de <strong>Twitter</strong>."
"You can login using your Google account.","Puedes registrarte usando tu cuenta de Google."
"You can login using your Facebook account.","Puedes registrarte usando tu cuenta de Facebook."
"You can login using your Twitter account.","Puedes registrarte usando tu cuenta de Twitter."
"You can register using your Google account.","Puedes registrarte usando tu cuenta de Google."
"You can register using your Facebook account.","Puedes registrarte usando tu cuenta de Facebook."
"You can register using your Twitter account.","Puedes registrarte usando tu cuenta de Twitter."
