"Continue","Continuer"
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Votre compte Twitter est maintenant connecté à notre boutique en ligne. Vous pouvez dorénavant vous identifier avec notre bouton "Twitter Connect" ou en utilisant les informations d\'identification de compte de notre boutique en ligne que vous recevrez à votre adresse e-mail."
"You have successfully logged in using your Twitter account.","Vous vous êtes connecté avec succès en utilisant votre compte Twitter."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","Nous avons identifié que vous possédiez déjà un compte sur notre boutique en ligne. Votre compte Twitter est maintenant relié à votre compte sur notre boutique en ligne."
"Sorry, could not retrieve your Twitter last name. Please try again.","Désolé, nous n\'avons pas pu récupérer votre nom de famille Twitter. Merci de réessayer à nouveau."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Votre compte Twitter est maintenant connecté à votre nouveau compte sur notre boutique en ligne. Vous pouvez dorénavant vous identifier avec notre bouton "Twitter Connect"."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Comme Twitter ne supporte pas les accès par des tierces parties à votre adresse e-mail, nous ne pouvons pas vous envoyer vos informations d\'identification. Pour pouvoir vous connecter en utilisant vos informations d\'identification, vous devrez mettre à jour votre adresse e-mail et votre mot de passe en utilisant notre <a href="%s">Modication d\'information de compte</a>."
"Google Connect","Google Connect"
"Facebook Connect","Facebook Connect"
"Twitter Connect","Twitter Connect"
"Customer My Account Google Connect","Mon compte Google"
"Customer My Account Facebook Connect","Mon compte Facebook"
"Customer My Account Twitter Connect","Mon compte Twitter"
"Connected as %s","Connecté en tant que %s"
"Email: %s","Email : %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Genre : %s"
"Birthday: %s","Anniversaire : %s"
"You can connect store account with your Facebook account so you could login easier in the future.","Vous pouvez lier votre compte sur notre boutique en ligne avec votre compte Facebook pour que vous puissiez vous connecter plus facilement à l\'avenir."
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","Vous pouvez lier votre compte sur notre boutique en ligne avec votre compte Google pour que vous puissiez vous connecter plus facilement à l\'avenir."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","Vous pouvez lier votre compte sur notre boutique en ligne avec votre compte Twitter pour que vous puissiez vous connecter plus facilement à l\'avenir."
"You can continue with checkout using your <strong>Google</strong> account.","Vous pouvez poursuivre votre commande en utilisant votre compte <strong>Google</strong>."
"You can continue with checkout using your <strong>Facebook</strong> account.","Vous pouvez poursuivre votre commande en utilisant votre compte <strong>Facebook</strong>."
"You can continue with checkout using your <strong>Twitter</strong> account.","Vous pouvez poursuivre votre commande en utilisant votre compte <strong>Twitter</strong>."
"You can login using your Google account.","Vous pouvez vous connecter en utilisant votre compte Google."
"You can login using your Facebook account.","Vous pouvez vous connecter en utilisant votre compte Facebook."
"You can login using your Twitter account.","Vous pouvez vous connecter en utilisant votre compte Twitter."
"You can register using your Google account.","Vous pouvez vous inscrire en utilisant votre compte Google."
"You can register using your Facebook account.","Vous pouvez vous inscrire en utilisant votre compte Facebook."
"You can register using your Twitter account.","Vous pouvez vous inscrire en utilisant votre compte Twitter."
