"Continue,""Nadaljujte"""
"Facebook Connect,""Facebook prijava"""
"Twitter Connect,""Twitter prijava"""
"Customer My Account Google Connect,""Stranka Moj račun Google prijava"""
"Customer My Account Facebook Connect,""Stranka Moj račun Facebook prijava"""
"Customer My Account Twitter Connect,""Stranka Moj račun Twitter prijava"""
"Connected as %s,""Prijavljen kot %s"""
"Email: %s,""E-pošta: %s"""
"Facebook #: %s,""Facebook št.: %s"""
"Gender: %s,""Spol: %s"""
"Birthday: %s,""Rojstni dan: %s"""
"You can connect store account with your Facebook account so you could login easier in the future.,""Za lažjo prijavo v prihodnje lahko povežete vaš račun v trgovini s Facebook računom."""
"Google #: %s,""Google št.: %s"""
"You can connect store account with your Google account so you could login easier in the future.,""Za lažjo prijavo v prihodnje lahko povežete vaš račun v trgovini z Google računom."""
"Twitter #: %s,""Twitter št.: %s"""
"You can connect store account with your Twitter account so you could login easier in the future.,""Za lažjo prijavo v prihodnje lahko povežete vaš račun v trgovini s Twitter računom."""
"You can continue with checkout using your <strong>Google</strong> account.,""Zaključek nakupa lahko nadaljujete z uporabo <strong>Google</strong> računa."""
"You can continue with checkout using your <strong>Facebook</strong> account.,""Zaključek nakupa lahko nadaljujete z uporabo <strong>Facebook</strong> računa."""
"You can continue with checkout using your <strong>Twitter</strong> account.,""Zaključek nakupa lahko nadaljujete z uporabo <strong>Twitter</strong> računa."""
"You can login using your Google account.,""Lahko se prijavite z uporabo Google računa."""
"You can login using your Facebook account.,""Lahko se prijavite z uporabo Facebook računa."""
"You can login using your Twitter account.,""Lahko se prijavite z uporabo Twitter računa."""
"You can register using your Google account.,""Lahko se registrirate z uporabo Google računa."""
"You can register using your Facebook account.,""Lahko se registrirate z uporabo Facebook računa."""
"You can register using your Twitter account.,""Lahko se registrirate z uporabo Twitter računa."""
