"Continue","Forsæt"
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Din Google konto er nu forbundet til din nye butikskonto. Do kan logge ind via Google Connect eller via de informationer som vi har sendt på mail."
"You have successfully disconnected your Twitter account from our store account.","Du har nu frakoblet din Twitter konto fra vores butik."
"Twitter Connect process aborted.","Twitter Connect proces afbrudt."
"Your Twitter account is already connected to one of our store accounts.","Din Facebook konto er allerede forbundet til en af vores butikskonti."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Din Twitter konto er nu forbundet til din butikskonto. Du kan nu logge ind med Twitter Connect knappen eller via de informationer vi har sendt på email."
"You have successfully logged in using your Twitter account.","Du er blevet logget ind via din Twitter konto."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","Vi har opdaget at du allerede har en konto hos os. Din Twitter konto er nu forbundet med din butikskonto."
"Sorry, could not retrieve your Twitter last name. Please try again.","Vi kunne desværre ikke få adgang til dit efternavn via Twitter. Prøv venligst igen."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Din Twitter konto er nu forbundet til din nye butikskonto. Do kan logge ind via Twitter Connect eller via de informationer som vi har sendt på mail."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Twitter understøtter desværre ikke tredjepartsadgang til din email-adresse og vi kunne derfor ikke sende dig dine login-oplysninger. Du skal opdatere din email-adresse og password via <a href="%s">Din konto</a>."
"Google Connect","Google Connect"
"Facebook Connect","Facebook Connect"
"Twitter Connect","Twitter Connect"
"Customer My Account Google Connect","Kunde Min Konto Google Connect"
"Customer My Account Facebook Connect","Kunde Min Konto Facebook Connect"
"Customer My Account Twitter Connect","Kunde Min Konto Twitter Connect"
"Connected as %s","Forbundet som: %s"
"Email: %s","Email: %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Køn: %s"
"Birthday: %s","Fødselsdag: %s"
"You can connect store account with your Facebook account so you could login easier in the future.","Du kan forbinde din butikskonto med din Facebook konto. Det er meget hurtigere."
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","Du kan forbinde din butikskonto med din Google konto. Det er meget hurtigere."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","Du kan forbinde din butikskonto med din Twitter konto. Det er meget hurtigere."
"You can continue with checkout using your <strong>Google</strong> account.","Du kan forsætte med dit køb via din <strong>Google</strong> konto."
"You can continue with checkout using your <strong>Facebook</strong> account.","Du kan forsætte med dit køb via din <strong>Facebook</strong> konto."
"You can continue with checkout using your <strong>Twitter</strong> account.","Du kan forsætte med dit køb via din <strong>Twitter</strong> konto."
"You can login using your Google account.","Du kan logge ind via din Google konto."
"You can login using your Facebook account.","Du kan logge ind via din Facebook konto."
"You can login using your Twitter account.","Du kan logge ind via din Twitter konto."
"You can register using your Google account.","Du kan oprette dig som kunde via din Google konto."
"You can register using your Facebook account.","Du kan oprette dig som kunde via din Facebook konto."
"You can register using your Twitter account.","Du kan oprette dig som kunde via din Twitter konto."
