"Continue","Continua"
"You can connect store account with your Twitter account so you could login easier in the future.","È possibile collegare il vostro account nel nostro sito con il vostro account Twitter così da poter accedere più facilmente in futuro."
"Linkedin #: %s","Linkedin #: %s"
"You can connect store account with your Linkedin account so you could login easier in the future.","È possibile collegare il vostro account nel nostro sito con il vostro account Linkedin così da poter accedere più facilmente in futuro."
"You can continue with checkout using your <strong>Google</strong> account.","E' possibile continuare lo shopping utilizzando l'account<strong> Google</strong>."
"You can continue with checkout using your <strong>Facebook</strong> account.","E' possibile continuare lo shopping utilizzando l'account<strong> Facebook</ strong>."
"You can continue with checkout using your <strong>Twitter</strong> account.","E' possibile continuare lo shopping utilizzando l'account<strong> Twitter</ strong>."
"You can continue with checkout using your <strong>Linkedin</strong> account.","E' possibile continuare lo shopping utilizzando l'account<strong> Linkedin</ strong>."
"You can login using your Google account.","È possibile effettuare il login utilizzando il tuo account Google."
"You can login using your Facebook account.","È possibile effettuare il login utilizzando il tuo account Facebook."
"You can login using your Twitter account.","È possibile effettuare il login utilizzando il tuo account Twitter."
"You can login using your Linkedin account.","È possibile effettuare il login utilizzando il tuo account Linkedin."
"You can register using your Google account.","Registrati con Google, è veloce!"
"You can register using your Facebook account.","Registrati con Facebook, è veloce!"
"You can register using your Twitter account.","Registrati con Twitter, è veloce!"
"You can register using your Linkedin account.","Registrati con Linkedin, è veloce!"
