"Continue","Verder"
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Omdat Twitter geen third-party toegang ondersteund tot profielgegevens, konden we uw profiel niet volledig invullen. Om gebruik te kunnen mkaen van de Google Connect optie om in te loggen moet u uw <a href="%s">account gegevens</a> verder aanvullen."
"Google Connect","Google Connect"
"Facebook Connect","Facebook Connect"
"Twitter Connect","Twitter Connect"
"Customer My Account Google Connect","Klant Mijn Account Google Connect"
"Customer My Account Facebook Connect","Klant Mijn Account Facebook Connect"
"Customer My Account Twitter Connect","Klant Mijn Account Twitter Connect"
"Connected as %s","Verbonden als %s"
"Email: %s","Email: %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Geslacht: %s"
"Birthday: %s","Geboortedatum: %s"
"You can connect store account with your Facebook account so you could login easier in the future.","U kan uw account verbinden met uw Facebook account om eenvoudiger in te loggen in de toekomst."
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","U kan uw account verbinden met uw Google account om eenvoudiger in te loggen in de toekomst."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","U kan uw account verbinden met uw Twitter account om eenvoudiger in te loggen in de toekomst."
"You can continue with checkout using your <strong>Google</strong> account.","U kan eenvoudig verder betalen met uw <strong>Google</strong> account."
"You can continue with checkout using your <strong>Facebook</strong> account.","U kan eenvoudig verder betalen met uw <strong>Facebook</strong> account."
"You can continue with checkout using your <strong>Twitter</strong> account.","U kan eenvoudig verder betalen met uw <strong>Twitter</strong> account."
"You can login using your Google account.","U kan inloggen met uw Google account."
"You can login using your Facebook account.","U kan inloggen met uw Facebook account."
"You can login using your Twitter account.","U kan inloggen met uw Twitter account."
"You can register using your Google account.","U kan registreren met uw Google account."
"You can register using your Facebook account.","U kan registreren met uw Facebook account."
"You can register using your Twitter account.","U kan registreren met uw Twitter account."
